1,1,9
2,2,8
3,3,7
4,4,6
5,5,5
6,6,4
7,7,3
8,8,2
9,9,1
10,10,2
11,1,3
12,2,4
13,3,5
14,4,6
15,5,7
16,6,8
17,7,9
18,8,10
19,9,11
20,10,12
21,1,13
22,2,14
23,3,15
24,4,16
25,5,17
26,6,18
27,7,19
28,8,20
29,9,21
30,10,22
31,1,23
32,2,3
33,3,4
34,4,5
35,5,6
36,6,7
37,7,8
38,8,9
39,9,10
40,10,11
41,1,12
42,2,13
43,3,14
44,4,15
45,5,16
46,6,17
47,7,18
48,8,7
49,9,6
50,10,5
51,1,4
52,2,3
53,3,2
54,4,1
55,5,3
56,6,5
57,7,7
58,8,9
59,9,11
60,10,13
61,1,15
62,2,17
63,3,19
64,4,21
65,5,23
66,6,25
67,7,27
68,8,2
69,9,4
70,10,6
71,1,8
72,2,10
73,3,12
74,4,14
75,5,16
76,6,18
77,7,20
78,8,22
79,9,24
80,10,26
81,1,28
82,2,30
83,3,32
84,4,34
85,5,36
1,6,3
2,7,4
3,8,5
4,9,6
5,10,7
6,1,8
7,2,9
8,3,10
9,4,11
10,5,12
11,6,13
12,7,14
13,8,15
14,3,16
15,2,17
16,1,18
17,2,19
18,3,20
19,5,21
20,6,22
21,7,23
22,8,24
23,9,1
24,10,2
25,1,3
26,2,4
27,3,5
28,4,6
29,5,7
30,6,8
31,7,9
32,8,10
33,9,11
34,10,12
35,10,13
36,1,14
37,2,15
38,3,16
39,4,17
40,5,18
41,6,19
42,7,20
43,8,21
44,9,22
45,10,23
46,1,24
47,2,25
48,3,26
49,4,6
50,5,7
51,6,8
52,7,9
53,8,10
54,9,11
55,10,12
56,1,13
57,2,14
58,3,15
59,4,16
60,5,17
61,6,18
62,7,19
63,8,20
64,9,21
65,10,22
66,3,23
67,2,24
68,3,25
69,4,26
70,5,27
71,6,28
72,7,29
73,8,30
74,9,31
75,10,32
76,1,33
77,2,34
78,3,2
79,4,3
80,5,4
81,6,5
82,7,6
83,8,7
84,9,8
85,10,9
1,7,10
2,8,11
3,9,12
4,10,13
5,1,14
6,2,15
7,3,16
8,4,17
9,5,18
10,2,19
11,7,20
12,1,21
13,1,22
14,9,23
15,10,24
16,9,25
17,3,26
18,9,27
19,4,28
20,5,29
21,6,1
22,7,2
23,7,3
24,8,4
25,9,5
26,10,6
27,1,7
56,2,8
57,3,9
58,4,10
59,5,11
60,6,12
61,7,13
62,8,14
63,1,15
64,2,16
65,9,17
66,1,18
67,3,19
68,6,20
69,5,21
70,3,22
22,6,23
23,7,24
24,7,25
25,8,26
26,9,27
27,10,28
28,1,29
29,2,30
30,3,12
31,4,13
32,5,14
33,6,15
34,7,16
35,7,17
36,8,18
37,9,19
38,10,20
39,1,21
40,2,22
41,3,23
42,4,24
43,5,25
44,6,2
45,7,2
46,7,2
47,8,2
48,9,2
49,10,2
50,1,2
51,2,2
52,3,2
53,4,2
54,5,2
55,6,7
56,7,7
57,9,7
58,10,7
59,1,7
60,2,7
61,3,7
62,4,7
63,9,7
64,6,7
65,7,7
66,8,7
67,9,7
68,10,9
69,1,9
70,2,9
71,3,9
72,4,9
73,5,9
74,6,9
75,7,9
76,8,9
77,9,9
78,10,9
79,1,9
80,2,9
81,3,9
82,4,9
83,5,9
84,6,9
85,7,2
1,8,3
2,9,4
3,10,5
4,1,6
5,2,7
6,3,8
7,4,9
8,5,10
9,6,11
10,7,12
2,3,13
3,2,14
4,5,15
5,4,16
6,4,17
7,6,18
8,9,19
9,10,20
10,6,21
11,3,8
